,title,area,numberOfRooms,price,town,district
39,BESS GRUPTAN HAVUZLU SİTE İÇERİSİNDE SAHİLE YAKIN GENİŞ 2+1,120,2+1,1.599.000,Beylikdüzü,Gürpınar
40,Newport Gayrimenkulden Novella Beş Yıldızda Satılık 3+1 Daire,143,3+1,3.500.000,Pendik,Yenişehir
41,BESS GRUPTAN HAVUZLU SİTE İÇERİSİNDE SAHİLE YAKIN GENİŞ 2+1,120,2+1,1.599.000,Beylikdüzü,Gürpınar
42,Newport Gayrimenkulden Novella Beş Yıldızda Satılık 3+1 Daire,143,3+1,3.500.000,Pendik,Yenişehir
43,NURSAN KONAKLARINDA Arakat Lüx 2+1 -TEK YETKİLİ AYAS GRUP-,98,2+1,2.200.000,Beylikdüzü,Gürpınar
44,-SAFA GYO- BEYLİKDÜZÜ ADNAN KAHVECİ BUTİK SİTE LÜX 3+1 FIRSATI!!,140,3+1,1.649.999,Beylikdüzü,Gürpınar
45,B.DÜZÜ SONSUZ GYO'DAN ÖZEL TASARIMLI MARİNAYA YAKIN 4+2 DUBLEKS,220,4+2,1.645.000,Beylikdüzü,Yakuplu
46,CİHANGİRDE TARİHİ YARIMADA VE BOĞAZ MANZARALI 4+1 DUBLEKS DAİRE,235,4+1,28.800.000,Beyoğlu,Cihangir
47,KALAMIŞ SAHİLDE PARKA 2DK 25M2BAHÇE KULLANIMLI 2+1 SATILIK DAİRE,100,2+1,3.750.000,Kadıköy,Fenerbahçe
48,AHT GAYRİMENKUL VADİSTANBUL TERAS 2+1 SATILIK BAHÇE KATI,148,2+1,11.000.000,Sarıyer,Merkez
49,BEYLİKDÜZÜ ŞAHANE YAPI'DAN TEK DAİRE ÜZERİ 120 M2 ARAKAT DAİRE!!,130,2+1,999.000,Beylikdüzü,Kavaklı
50,BEYLİKDÜZÜ SONSUZ'DAN MERKEZİ KONUMDA 2+1 ARAKAT DAİRE!!!,120,2+1,579.999,Beylikdüzü,Kavaklı
51,ALKAYA'DAN GÖZTEPE'DE SATILIK 3+1 160M²NET YASAL DUBLEKS DAİRE,220,3+1,6.900.000,Kadıköy,Göztepe
52,ACİL SATILIK 1.KAT 2+1 DAİRE BU HAFTA İÇİN GEÇERLİ FİYAT KAÇMAZ,105,2+1,619.999,Beylikdüzü,Kavaklı
53,ARES DEN SİTE İÇİ 2+1 ULTRA LÜX UYGUN FİYATLI DAİRE !,125,2+1,1.690.000,Beylikdüzü,Gürpınar
54,SİTE İÇERİSİNDE 1+0 GENİŞ SATILIK SOSYAL AKTİVİTELİ FIRSAT DAİRE,60,Stüdyo,(1+0),Beylikdüzü,Kavaklı
55,BEYLİKDÜZÜ VESA'DAN METROBÜSE 5 DK MES.TAM'DA SİZE GÖRE DAİRE!!!,100,2+1,659.000,Beylikdüzü,Kavaklı
56,BEYLİKDÜZÜ SİTE İÇERİSİNDE FULL KONSEPT DAİREMİZ ACİL SATILIK,80,1+1,1.099.000,Beylikdüzü,Kavaklı
57,BEYLİKDÜZÜ SONSUZ'DAN MARİNAYA KOMŞU SİTE İÇERİSİNDE LÜKS 3+1,160,3+1,1.899.999,Beylikdüzü,Kavaklı
58,BEYLİKDÜZÜ KARVEN'DEN SİTE İÇİ 2+1 ŞIK GÖRSELİ İLE DAİRE..!!,110,2+1,900.000,Beylikdüzü,Kavaklı
59,PİRAMİT GYO'DAN BEYLİKDÜZÜ ADNAN KAHVECİDE BUTİK SİTEDE 2+1DAİRE,130,2+1,1.890.000,Beylikdüzü,Gürpınar
60,LÜKS 3+1 135 M2 İSKANLI SİTELER BÖLGESİNDE KREDİYE UYGUN ARAKAT,147,3+1,1.100.000,,
